Hostname,Operating System,Build
ENGRLTM7BST2,Windows 10 Enterprise,19043
ENGRLTMB1593,Windows 10 Enterprise,19044
ENGRLTND28Y2,Windows 10 Enterprise,19042
ENGRLTND8XD3,Windows 10 Enterprise,19044
ENGRLTP01593,Windows 10 Enterprise,19042
ENGRLTP9ZL33,Windows 10 Enterprise,19042
ENGRLTPMBXD3,Windows 10 Enterprise,19042
ENGRLTQ2C9Y2,Windows 10 Enterprise,19044
ENGRLTQS1DK3,Windows 10 Enterprise,19042
ENGRLTQV29K3,Windows 10 Enterprise,19042
ENGRLTQVDM33,Windows 10 Enterprise,19044
ENGRLTR03593,Windows 10 Enterprise,19044
ENGRLTR4B3J3,Windows 10 Enterprise,19043
ENGRLTR6C2R2,Windows 10 Enterprise,19044
ENGRLTR7BST2,Windows 10 Enterprise,19041
ENGRLTRC5YD3,Windows 10 Enterprise,19043
ENGRLTRF09Y2,Windows 10 Enterprise,19042
ENGRLTRNJBK3,Windows 10 Enterprise,19042
ENGRLTRT0593,Windows 10 Enterprise,19042
ENGRLTRVW3M2,Windows 10 Enterprise,19044
ENGRLTRW2M33,Windows 10 Enterprise,22000
ENGRLTSB1593,Windows 10 Enterprise,19044
ENGRLTST0593,Windows 10 Enterprise,19042
ENGRLTST9XD3,Windows 10 Enterprise,19042
ENGRLTT33063,Windows 10 Enterprise,19044
ENGRLTTNLL63,Windows 10 Enterprise,18363
ENGRLTTRPRQ2,Windows 10 Enterprise,19044
ENGRLTVGML63,Windows 10 Enterprise,19042
ENGRLTW0BLC2,Windows 10 Enterprise,19043
ENGRLTW5NR72,Windows 10 Enterprise,19043
ENGRLTW84593,Windows 10 Enterprise,19042
ENGRLTWGML63,Windows 10 Enterprise,19042
ENGRLTWHGBK3,Windows 10 Enterprise,19043
ENGRLTX77733,Windows 10 Enterprise,19044
ENGRLTX94BC3,Windows 10 Enterprise,19042
ENGRLTXSHFG3,Windows 10 Enterprise,19044
ENGRLTY1M6J3,Windows 10 Enterprise,19043
ENGRLTYDP3J3,Windows 10 Enterprise,19044
ENGRLTYJKHC2,Windows 10 Enterprise,19044
ENGRLTYM9XD3,Windows 10 Enterprise,19044
ENGRLTYMNR32,Windows 10 Enterprise,19044
ENGRLTYXP3J3,Windows 10 Enterprise,19043
ENGRLTZ77733,Windows 10 Enterprise,19043
ENGRLTZ7CVD2,Windows 10 Enterprise,19042
ENGRLTZBTXY2,Windows 10 Enterprise,19044
ENGRLTZC2M33,Windows 10 Enterprise,19041
ENGRLTZFDMDC2,Windows 10 Enterprise,19042
ENGRLTZGS3Z2,Windows 10 Enterprise,19041
ENGRLTZRPRQ2,Windows 10 Enterprise,19041
ENGRLTZW9XD3,Windows 10 Enterprise,19042
ENGRLTZWP6J3,Windows 10 Enterprise,19044
ENGRWK22CM053,Windows 10 Enterprise,19041
ENGRWK22G2PK3,Windows 10 Enterprise,19042
ENGRWK2BT903,Windows 10 Enterprise,19041
ENGRWK2C2B03,Windows 10 Enterprise,19044
ENGRWK2FZ903,Windows 10 Enterprise,19044
ENGRWK2GY903,Windows 10 Enterprise,19044
ENGRWK2HS9HX1,Windows 10 Enterprise,19042
ENGRWK2HTRG13,Windows 10 Enterprise,19041
ENGRWK2HVB613,Windows 10 Enterprise,19041
ENGRWK2JZ903,Windows 10 Enterprise,19044
ENGRWK2K0B03,Windows 10 Enterprise,18362
ENGRWK2YMH13,Windows 10 Enterprise,19042
ENGRWK33MH13,Windows 10 Enterprise,19042
ENGRWK3HDQD2,Windows 10 Enterprise,19044
ENGRWK3JHMF2,Windows 10 Enterprise,19041
ENGRWK3JHS13,Windows 10 Enterprise,19044
ENGRWK3MQ082,Windows 10 Enterprise,19044
ENGRWK46LFX2,Windows 10 Enterprise,19044
ENGRWK48YG8R2,Windows 10 Enterprise,17134
ENGRWK4HS903,Windows 10 Enterprise,19044
ENGRWK4MB2PK3,Windows 10 Enterprise,19042
ENGRWK4N6GB2,Windows 10 Enterprise,19042
ENGRWK4NKH13,Windows 10 Enterprise,19044
ENGRWK52G2PK3,Windows 10 Enterprise,19043
ENGRWK5LNH13,Windows 10 Enterprise,19042
ENGRWK5QMP842,Windows 10 Enterprise,19044
ENGRWK5RP9T2,Windows 10 Enterprise,19043
ENGRWK5ZW3H03,Windows 10 Enterprise,19044
ENGRWK63VDHB2,Windows 10 Enterprise,19044
ENGRWK6F4H02,Windows 10 Enterprise,19041
ENGRWK6LB2PK3,Windows 10 Enterprise,19042
ENGRWK708KS13,Windows 10 Enterprise,19044
ENGRWK708NS13,Windows 10 Enterprise,19044
ENGRWK70G2PK3,Windows 10 Enterprise,19042
